Fecha_Registro,Hora,Condiciones meteorológicas,Temperatura,Viento,Humedad,Presión,Punto de rocío
2-julio-2024,13:45,Neblina,22°,15 km/h,50%,1026 hPa,11°
2-julio-2024,14:46,Neblina,23°,15 km/h,41%,1025 hPa,9°
2-julio-2024,15:54,Tormenta de polvo,24°,7 km/h,41%,1023 hPa,10°
2-julio-2024,16:52,Tormenta de polvo,24°,15 km/h,31%,1023 hPa,6°
2-julio-2024,17:49,Tormenta de polvo,24°,20 km/h,36%,1022 hPa,8°
2-julio-2024,18:39,Mayormente cubierto,22°,33 km/h,50%,1023 hPa,11°
2-julio-2024,18:53,Mayormente cubierto,21°,19 km/h,49%,1023 hPa,10°
2-julio-2024,19:39,Hielo cristalizado,19°,26 km/h,60%,1023 hPa,11°
2-julio-2024,19:54,Tormenta de polvo,19°,22 km/h,60%,1024 hPa,11°
2-julio-2024,20:45,Mayormente cubierto,19°,19 km/h,60%,1025 hPa,11°
2-julio-2024,21:49,Mayormente cubierto,20°,33 km/h,46%,1026 hPa,8°
2-julio-2024,22:10,Lluvia ligera,18°,28 km/h,64%,1026 hPa,11°
2-julio-2024,22:46,Lluvia ligera,17°,13 km/h,72%,1027 hPa,12°
2-julio-2024,23:43,Lluvia,17°,En calma,77%,1028 hPa,13°
2-julio-2024,23:48,Mayormente cubierto,17°,En calma,77%,1028 hPa,13°
3-julio-2024,00:45,Mayormente cubierto,17°,4 km/h,72%,1028 hPa,12°
3-julio-2024,01:27,Lluvia ligera,17°,7 km/h,77%,1028 hPa,13°
3-julio-2024,01:45,Lluvia ligera,16°,7 km/h,82%,1027 hPa,13°
3-julio-2024,02:04,Lluvia,16°,4 km/h,82%,1027 hPa,13°
3-julio-2024,03:45,Cielo cubierto,16°,7 km/h,82%,1026 hPa,13°
3-julio-2024,04:51,Cielo cubierto,16°,7 km/h,82%,1026 hPa,13°
3-julio-2024,05:46,Mayormente cubierto,16°,En calma,77%,1026 hPa,12°
3-julio-2024,06:45,Mayormente cubierto,16°,13 km/h,77%,1027 hPa,12°
3-julio-2024,07:45,Parcialmente cubierto,16°,6 km/h,77%,1027 hPa,12°
3-julio-2024,08:45,Neblina,18°,En calma,64%,1028 hPa,11°
3-julio-2024,09:45,Neblina,20°,7 km/h,56%,1028 hPa,11°
3-julio-2024,10:45,Neblina,21°,9 km/h,49%,1028 hPa,10°
3-julio-2024,12:46,Neblina,22°,7 km/h,46%,1028 hPa,10°
3-julio-2024,16:23,Neblina,21°,19 km/h,53%,1025 hPa,11°
3-julio-2024,17:28,Neblina,24°,19 km/h,44%,1024 hPa,11°
3-julio-2024,18:51,Neblina,22°,11 km/h,53%,1025 hPa,12°
3-julio-2024,18:55,Neblina,21°,11 km/h,56%,1025 hPa,12°
3-julio-2024,19:58,Neblina,19°,22 km/h,68%,1026 hPa,13°
3-julio-2024,20:46,Neblina,18°,22 km/h,73%,1026 hPa,13°
3-julio-2024,21:30,Tormenta,18°,15 km/h,77%,1027 hPa,14°
3-julio-2024,21:40,Tormenta,17°,19 km/h,82%,1027 hPa,14°
3-julio-2024,21:46,Tormenta,17°,19 km/h,82%,1027 hPa,14°
3-julio-2024,21:53,Tormenta,17°,15 km/h,88%,1027 hPa,15°
3-julio-2024,22:33,Tormenta,16°,6 km/h,94%,1028 hPa,15°
3-julio-2024,22:48,Tormenta,16°,9 km/h,94%,1028 hPa,15°
3-julio-2024,23:55,Tormenta,16°,7 km/h,88%,1029 hPa,14°
4-julio-2024,00:18,Tormenta,15°,7 km/h,94%,1029 hPa,14°
4-julio-2024,00:47,Lluvia,15°,7 km/h,94%,1029 hPa,14°
4-julio-2024,00:49,Lluvia,15°,7 km/h,94%,1029 hPa,14°
4-julio-2024,01:00,Lluvia,15°,11 km/h,94%,1029 hPa,14°
4-julio-2024,01:18,Lluvia,15°,7 km/h,100%,1029 hPa,15°
4-julio-2024,05:47,Neblina,14°,7 km/h,100%,1027 hPa,14°
4-julio-2024,06:51,Neblina,14°,11 km/h,94%,1028 hPa,13°
4-julio-2024,07:49,Neblina,15°,11 km/h,94%,1028 hPa,14°
4-julio-2024,08:46,Neblina,16°,6 km/h,88%,1029 hPa,14°
4-julio-2024,09:24,Neblina,18°,En calma,77%,1029 hPa,14°
4-julio-2024,09:46,Neblina,19°,7 km/h,73%,1029 hPa,14°
4-julio-2024,12:49,Neblina,22°,6 km/h,53%,1028 hPa,12°
4-julio-2024,13:46,Neblina,23°,En calma,47%,1027 hPa,11°
4-julio-2024,15:51,Neblina,25°,7 km/h,39%,1024 hPa,10°
4-julio-2024,16:45,Neblina,26°,19 km/h,34%,1023 hPa,9°
4-julio-2024,17:30,Neblina,24°,19 km/h,41%,1022 hPa,10°
4-julio-2024,17:50,Tormenta,25°,19 km/h,39%,1022 hPa,10°
4-julio-2024,17:56,Tormenta,25°,22 km/h,41%,1023 hPa,11°
4-julio-2024,17:59,Tormenta,25°,48 km/h,41%,1023 hPa,11°
4-julio-2024,18:01,Tormenta,22°,46 > 65 km/h,64%,1023 hPa,15°
4-julio-2024,18:05,Tormenta,20°,56 km/h,68%,1023 hPa,14°
4-julio-2024,18:06,Tormenta,18°,56 km/h,77%,1024 hPa,14°
4-julio-2024,18:09,Tormenta,16°,56 km/h,82%,1024 hPa,13°
4-julio-2024,18:12,Tormenta,14°,46 > 65 km/h,94%,1023 hPa,13°
4-julio-2024,18:23,Tormenta,14°,37 > 56 km/h,100%,1024 hPa,14°
4-julio-2024,18:33,Tormenta,14°,28 km/h,100%,1024 hPa,14°
4-julio-2024,18:40,Tormenta,15°,19 km/h,100%,1024 hPa,15°
4-julio-2024,18:50,Tormenta,16°,11 km/h,94%,1024 hPa,15°
4-julio-2024,19:12,Tormenta,17°,9 km/h,88%,1024 hPa,15°
4-julio-2024,19:40,Lluvia ligera,18°,9 km/h,77%,1025 hPa,14°
4-julio-2024,19:45,Lluvia ligera,18°,9 km/h,77%,1025 hPa,14°
4-julio-2024,20:30,Lluvia prÃ³xima,18°,9 km/h,68%,1025 hPa,12°
4-julio-2024,20:50,Neblina,19°,9 km/h,68%,1025 hPa,13°
4-julio-2024,21:20,Lluvia ligera,19°,11 km/h,73%,1026 hPa,14°
4-julio-2024,21:35,Tormenta,18°,11 km/h,77%,1026 hPa,14°
4-julio-2024,21:46,Tormenta,18°,9 km/h,83%,1026 hPa,15°
4-julio-2024,21:50,Tormenta,18°,13 km/h,83%,1026 hPa,15°
4-julio-2024,22:47,Lluvia,18°,13 km/h,83%,1027 hPa,15°
4-julio-2024,22:53,Neblina,18°,9 km/h,83%,1027 hPa,15°
4-julio-2024,23:45,Neblina,18°,13 km/h,77%,1028 hPa,14°
5-julio-2024,00:46,Neblina,18°,11 km/h,77%,1028 hPa,14°
5-julio-2024,04:49,Neblina,16°,7 km/h,82%,1026 hPa,13°
5-julio-2024,06:46,Neblina,15°,7 km/h,88%,1026 hPa,13°
5-julio-2024,07:10,Neblina,16°,7 km/h,82%,1026 hPa,13°
5-julio-2024,08:45,Neblina,16°,7 km/h,77%,1027 hPa,12°
5-julio-2024,09:32,Neblina,19°,En calma,68%,1027 hPa,13°
5-julio-2024,10:45,Neblina,20°,En calma,64%,1027 hPa,13°
5-julio-2024,11:45,Neblina,21°,6 km/h,56%,1027 hPa,12°
5-julio-2024,12:45,Neblina,22°,7 km/h,46%,1026 hPa,10°
5-julio-2024,13:45,Neblina,23°,9 km/h,44%,1025 hPa,10°
5-julio-2024,14:45,Neblina,24°,7 km/h,36%,1025 hPa,8°
5-julio-2024,15:48,Neblina,26°,30 km/h,28%,1023 hPa,6°
5-julio-2024,15:50,Neblina,26°,30 km/h,26%,1023 hPa,5°
5-julio-2024,16:45,Neblina,25°,22 km/h,30%,1022 hPa,6°
5-julio-2024,17:45,Neblina,24°,22 km/h,36%,1022 hPa,8°
5-julio-2024,18:51,Neblina,24°,30 km/h,34%,1022 hPa,7°
5-julio-2024,19:50,Neblina,23°,37 km/h,41%,1022 hPa,9°
5-julio-2024,21:40,Neblina,20°,22 km/h,53%,1025 hPa,10°
5-julio-2024,21:45,Neblina,20°,19 km/h,53%,1025 hPa,10°
6-julio-2024,00:45,Nubes dispersas,18°,13 km/h,56%,1027 hPa,9°
6-julio-2024,01:45,Nubes dispersas,17°,9 km/h,63%,1027 hPa,10°
6-julio-2024,07:45,Neblina,13°,9 km/h,88%,1027 hPa,11°
6-julio-2024,08:45,Neblina,15°,11 km/h,88%,1027 hPa,13°
6-julio-2024,09:45,Neblina,18°,En calma,68%,1027 hPa,12°
6-julio-2024,09:50,Neblina,18°,9 km/h,68%,1027 hPa,12°
6-julio-2024,10:45,Neblina,20°,En calma,60%,1027 hPa,12°
6-julio-2024,11:45,Neblina,21°,11 km/h,53%,1027 hPa,11°
6-julio-2024,12:45,Neblina,23°,22 km/h,47%,1026 hPa,11°
6-julio-2024,12:50,Neblina,23°,22 km/h,44%,1026 hPa,10°
6-julio-2024,13:45,Neblina,25°,11 km/h,36%,1026 hPa,9°
6-julio-2024,13:50,Neblina,25°,15 km/h,36%,1026 hPa,9°
6-julio-2024,14:45,Neblina,25°,15 km/h,34%,1025 hPa,8°
6-julio-2024,15:50,Neblina,25°,15 km/h,22%,1024 hPa,2°
6-julio-2024,16:45,Neblina,26°,11 km/h,24%,1023 hPa,4°
6-julio-2024,17:29,Neblina,26°,41 km/h,32%,1023 hPa,8°
6-julio-2024,17:45,Neblina,25°,33 km/h,34%,1023 hPa,8°
6-julio-2024,18:42,Neblina,23°,37 km/h,44%,1023 hPa,10°
6-julio-2024,18:50,Neblina,23°,28 km/h,44%,1023 hPa,10°
6-julio-2024,19:45,Neblina,22°,26 km/h,46%,1024 hPa,10°
6-julio-2024,20:45,Neblina,22°,22 km/h,46%,1024 hPa,10°
6-julio-2024,21:45,Neblina,21°,22 km/h,49%,1025 hPa,10°
6-julio-2024,23:45,Nubes dispersas,20°,11 km/h,56%,1027 hPa,11°
7-julio-2024,00:45,Nubes dispersas,19°,9 km/h,56%,1027 hPa,10°
7-julio-2024,03:45,Neblina,17°,6 km/h,68%,1026 hPa,11°
7-julio-2024,04:46,Neblina,16°,7 km/h,72%,1026 hPa,11°
7-julio-2024,05:46,Neblina,14°,7 km/h,88%,1026 hPa,12°
7-julio-2024,05:50,Neblina,14°,7 km/h,88%,1026 hPa,12°
7-julio-2024,06:47,Neblina,14°,15 km/h,88%,1026 hPa,12°
7-julio-2024,07:45,Neblina,14°,9 km/h,88%,1026 hPa,12°
7-julio-2024,11:48,Neblina,22°,En calma,50%,1027 hPa,11°
7-julio-2024,12:35,Neblina,24°,11 km/h,41%,1026 hPa,10°
7-julio-2024,12:54,Neblina,24°,15 km/h,36%,1026 hPa,8°
7-julio-2024,13:45,Neblina,25°,15 km/h,28%,1025 hPa,5°
7-julio-2024,14:52,Neblina,25°,19 km/h,32%,1024 hPa,7°
7-julio-2024,17:45,Tormenta de polvo,26°,9 km/h,23%,1022 hPa,3°
7-julio-2024,18:50,Tormenta de polvo,26°,15 km/h,24%,1021 hPa,4°
7-julio-2024,19:45,Neblina,27°,15 km/h,23%,1021 hPa,4°
7-julio-2024,20:35,Neblina,25°,11 km/h,39%,1022 hPa,10°
7-julio-2024,20:50,Neblina,24°,15 km/h,44%,1022 hPa,11°
7-julio-2024,21:40,Neblina,22°,22 km/h,57%,1024 hPa,13°
7-julio-2024,21:50,Neblina,21°,22 km/h,60%,1024 hPa,13°
7-julio-2024,22:45,Neblina,21°,9 km/h,56%,1025 hPa,12°
7-julio-2024,23:45,Neblina,21°,9 km/h,56%,1025 hPa,12°
8-julio-2024,00:48,Neblina,20°,11 km/h,64%,1025 hPa,13°
8-julio-2024,02:45,Neblina,18°,7 km/h,73%,1025 hPa,13°
8-julio-2024,03:45,Neblina,18°,9 km/h,73%,1024 hPa,13°
8-julio-2024,05:45,Neblina,18°,6 km/h,59%,1028 hPa,10°
8-julio-2024,06:46,Neblina,18°,9 km/h,64%,1025 hPa,11°
8-julio-2024,07:47,Neblina,17°,6 km/h,72%,1025 hPa,12°
8-julio-2024,11:50,Neblina,24°,13 km/h,38%,1025 hPa,9°
8-julio-2024,15:49,Parcialmente cubierto,27°,15 km/h,23%,1022 hPa,4°
8-julio-2024,16:57,Granitos de nieve,27°,19 km/h,23%,1021 hPa,4°
8-julio-2024,18:51,Mayormente cubierto,26°,19 km/h,23%,1021 hPa,3°
8-julio-2024,20:28,Mayormente cubierto,23°,33 km/h,41%,1023 hPa,9°
8-julio-2024,21:50,Tormenta de polvo,21°,22 km/h,49%,1024 hPa,10°
8-julio-2024,23:45,Tormenta de polvo,20°,6 km/h,53%,1026 hPa,10°
9-julio-2024,00:23,Tormenta de arena,19°,22 km/h,60%,1027 hPa,11°
9-julio-2024,00:45,Cielo cubierto,18°,15 km/h,68%,1026 hPa,12°
9-julio-2024,04:48,Neblina,17°,7 km/h,77%,1025 hPa,13°
9-julio-2024,05:48,Neblina,17°,11 km/h,77%,1025 hPa,13°
9-julio-2024,06:45,Neblina,16°,6 km/h,77%,1026 hPa,12°
9-julio-2024,08:45,Neblina,18°,9 km/h,68%,1027 hPa,12°
9-julio-2024,09:50,Neblina,20°,13 km/h,60%,1027 hPa,12°
9-julio-2024,10:45,Neblina,21°,11 km/h,53%,1027 hPa,11°
9-julio-2024,11:45,Neblina,22°,13 km/h,46%,1026 hPa,10°
9-julio-2024,12:45,Neblina,23°,13 km/h,44%,1025 hPa,10°
9-julio-2024,13:46,Neblina,23°,11 km/h,44%,1025 hPa,10°
9-julio-2024,15:53,Neblina,24°,22 km/h,41%,1023 hPa,10°
9-julio-2024,16:00,Lluvia ligera,22°,30 km/h,50%,1023 hPa,11°
9-julio-2024,16:17,Lluvia ligera,20°,22 km/h,60%,1023 hPa,12°
9-julio-2024,16:45,Lluvia ligera,19°,19 km/h,73%,1022 hPa,14°
9-julio-2024,17:01,Lluvia,18°,19 km/h,77%,1022 hPa,14°
9-julio-2024,17:28,Lluvia ligera,18°,22 km/h,83%,1023 hPa,15°
9-julio-2024,17:41,Lluvia,18°,22 km/h,83%,1023 hPa,15°
9-julio-2024,17:45,Tormenta,17°,19 km/h,88%,1023 hPa,15°
9-julio-2024,17:47,Tormenta,17°,19 km/h,88%,1023 hPa,15°
9-julio-2024,18:01,Tormenta,16°,22 km/h,88%,1024 hPa,14°
9-julio-2024,18:15,Tormenta,15°,19 km/h,100%,1024 hPa,15°
9-julio-2024,18:23,Tormenta,14°,19 km/h,100%,1023 hPa,14°
9-julio-2024,18:50,Lluvia prÃ³xima,19°,22 km/h,64%,1024 hPa,12°
9-julio-2024,18:52,Tormenta,15°,11 km/h,94%,1024 hPa,14°
9-julio-2024,19:03,Lluvia ligera,16°,11 km/h,88%,1025 hPa,14°
9-julio-2024,19:32,Neblina,16°,11 km/h,88%,1025 hPa,14°
9-julio-2024,19:47,Neblina,17°,11 km/h,82%,1025 hPa,14°
9-julio-2024,20:51,Neblina,18°,15 km/h,73%,1026 hPa,13°
9-julio-2024,21:56,Neblina,18°,19 km/h,73%,1026 hPa,13°
9-julio-2024,22:26,Lluvia ligera,17°,15 km/h,77%,1027 hPa,13°
9-julio-2024,22:44,Lluvia,17°,15 km/h,82%,1027 hPa,14°
9-julio-2024,22:45,Cielo cubierto,17°,15 km/h,82%,1027 hPa,14°
9-julio-2024,23:42,Lluvia,17°,15 km/h,77%,1027 hPa,13°
9-julio-2024,23:46,Cielo cubierto,17°,13 km/h,77%,1027 hPa,13°
10-julio-2024,00:49,Lluvia ligera,17°,15 km/h,82%,1027 hPa,14°
10-julio-2024,00:52,Lluvia ligera,17°,17 km/h,82%,1027 hPa,14°
10-julio-2024,01:23,Lluvia,16°,En calma,88%,1027 hPa,14°
10-julio-2024,03:49,Cielo cubierto,16°,9 km/h,82%,1025 hPa,13°
10-julio-2024,06:49,Mayormente cubierto,16°,9 km/h,82%,1025 hPa,13°
10-julio-2024,07:45,Mayormente cubierto,16°,11 km/h,77%,1026 hPa,12°
10-julio-2024,08:45,Neblina,17°,13 km/h,72%,1026 hPa,12°
10-julio-2024,09:45,Neblina,18°,15 km/h,64%,1027 hPa,11°
10-julio-2024,10:45,Neblina,18°,7 km/h,68%,1027 hPa,12°
10-julio-2024,12:33,Lluvia ligera,16°,En calma,77%,1027 hPa,12°
10-julio-2024,13:25,Neblina,17°,11 km/h,77%,1026 hPa,13°
10-julio-2024,15:50,Neblina,19°,15 km/h,68%,1025 hPa,13°
10-julio-2024,16:52,Neblina,20°,9 km/h,60%,1024 hPa,12°
10-julio-2024,17:45,Neblina,19°,13 km/h,68%,1023 hPa,13°
10-julio-2024,18:15,Lluvia prÃ³xima,19°,22 km/h,68%,1023 hPa,13°
10-julio-2024,18:50,Lluvia prÃ³xima,19°,22 km/h,64%,1024 hPa,12°
10-julio-2024,19:45,Lluvia prÃ³xima,19°,15 km/h,64%,1024 hPa,12°
10-julio-2024,20:51,Neblina,19°,11 km/h,68%,1025 hPa,13°
10-julio-2024,21:34,Lluvia ligera,16°,11 km/h,88%,1026 hPa,14°
10-julio-2024,21:40,Tormenta,16°,11 km/h,88%,1026 hPa,14°
10-julio-2024,21:49,Tormenta,15°,19 km/h,94%,1026 hPa,14°
10-julio-2024,22:31,Lluvia ligera,15°,11 km/h,94%,1027 hPa,14°
11-julio-2024,00:46,Lluvia ligera,15°,6 km/h,88%,1027 hPa,13°
11-julio-2024,01:44,Lluvia ligera,15°,9 km/h,94%,1027 hPa,14°
11-julio-2024,03:05,Lluvia,15°,7 km/h,88%,1026 hPa,13°
11-julio-2024,03:45,Mayormente cubierto,15°,7 km/h,88%,1026 hPa,13°
11-julio-2024,04:48,Mayormente cubierto,15°,En calma,88%,1026 hPa,13°
11-julio-2024,05:47,Mayormente cubierto,15°,7 km/h,88%,1026 hPa,13°
11-julio-2024,06:46,Mayormente cubierto,14°,4 km/h,94%,1026 hPa,13°
11-julio-2024,07:45,Mayormente cubierto,15°,6 km/h,88%,1026 hPa,13°
11-julio-2024,10:46,Neblina,17°,6 km/h,77%,1028 hPa,13°
11-julio-2024,11:46,Neblina,18°,7 km/h,68%,1028 hPa,12°
11-julio-2024,12:47,Neblina,19°,7 km/h,64%,1027 hPa,12°
11-julio-2024,13:47,Neblina,20°,11 km/h,60%,1027 hPa,12°
11-julio-2024,14:17,Neblina,22°,15 km/h,46%,1026 hPa,10°
11-julio-2024,15:23,Tormenta,20°,22 km/h,60%,1026 hPa,12°
11-julio-2024,15:45,Tormenta,20°,30 km/h,60%,1026 hPa,12°
11-julio-2024,16:01,Lluvia ligera,19°,28 km/h,68%,1025 hPa,13°
11-julio-2024,16:13,Tormenta,19°,26 km/h,73%,1025 hPa,14°
11-julio-2024,16:40,Neblina,21°,30 km/h,60%,1025 hPa,13°
11-julio-2024,16:50,Neblina,22°,28 km/h,53%,1025 hPa,12°
11-julio-2024,18:50,Lluvia prÃ³xima,22°,15 km/h,46%,1025 hPa,10°
11-julio-2024,20:40,Neblina,18°,30 km/h,73%,1026 hPa,13°
11-julio-2024,20:45,Neblina,18°,19 km/h,73%,1026 hPa,13°
11-julio-2024,21:32,Lluvia ligera,18°,15 km/h,73%,1027 hPa,13°
11-julio-2024,21:46,Lluvia ligera,17°,19 km/h,77%,1027 hPa,13°
11-julio-2024,22:10,Neblina,17°,11 km/h,82%,1027 hPa,14°
11-julio-2024,22:46,Neblina,18°,En calma,68%,1027 hPa,12°
11-julio-2024,23:57,Neblina,16°,15 km/h,77%,1028 hPa,12°
12-julio-2024,00:16,Lluvia ligera,15°,11 km/h,88%,1028 hPa,13°
12-julio-2024,00:53,Lluvia ligera,16°,11 km/h,82%,1028 hPa,13°
12-julio-2024,01:07,Neblina,16°,11 km/h,82%,1028 hPa,13°
12-julio-2024,02:49,Neblina,16°,En calma,82%,1028 hPa,13°
12-julio-2024,03:52,Neblina,15°,11 km/h,94%,1027 hPa,14°
12-julio-2024,04:46,Neblina,15°,7 km/h,88%,1027 hPa,13°
12-julio-2024,05:53,Neblina,15°,15 km/h,88%,1027 hPa,13°
12-julio-2024,06:56,Neblina,15°,7 km/h,82%,1028 hPa,12°
12-julio-2024,08:45,Neblina,17°,6 km/h,72%,1029 hPa,12°
12-julio-2024,09:45,Neblina,19°,6 km/h,60%,1029 hPa,11°
12-julio-2024,10:45,Neblina,21°,6 km/h,49%,1029 hPa,10°
12-julio-2024,11:45,Neblina,22°,7 km/h,43%,1029 hPa,9°
12-julio-2024,12:45,Neblina,23°,7 km/h,41%,1028 hPa,9°
12-julio-2024,13:45,Neblina,24°,11 km/h,36%,1027 hPa,8°
12-julio-2024,14:45,Neblina,24°,15 km/h,36%,1026 hPa,8°
12-julio-2024,16:50,Tormenta,24°,28 km/h,44%,1025 hPa,11°
12-julio-2024,17:20,Lluvia prÃ³xima,24°,22 > 41 km/h,41%,1025 hPa,10°
12-julio-2024,17:50,Lluvia prÃ³xima,24°,28 km/h,41%,1025 hPa,10°
12-julio-2024,18:48,Lluvia prÃ³xima,22°,13 km/h,46%,1025 hPa,10°
12-julio-2024,18:50,Lluvia prÃ³xima,22°,15 km/h,46%,1025 hPa,10°
12-julio-2024,19:48,Neblina,20°,19 km/h,64%,1026 hPa,13°
12-julio-2024,19:50,Neblina,20°,19 km/h,64%,1026 hPa,13°
12-julio-2024,20:50,Neblina,20°,15 km/h,64%,1028 hPa,13°
12-julio-2024,21:46,Parcialmente cubierto,19°,15 km/h,60%,1028 hPa,11°
12-julio-2024,22:48,Nubes dispersas,19°,7 km/h,52%,1029 hPa,9°
13-julio-2024,00:46,Nubes dispersas,18°,En calma,52%,1030 hPa,8°
13-julio-2024,03:45,Parcialmente cubierto,16°,6 km/h,59%,1030 hPa,8°
13-julio-2024,04:49,Neblina,15°,En calma,82%,1030 hPa,12°
13-julio-2024,05:48,Neblina,15°,7 km/h,77%,1030 hPa,11°
13-julio-2024,06:49,Neblina,15°,9 km/h,77%,1031 hPa,11°
13-julio-2024,08:45,Neblina,16°,11 km/h,72%,1031 hPa,11°
13-julio-2024,09:45,Neblina,18°,15 km/h,64%,1031 hPa,11°
13-julio-2024,10:47,Neblina,20°,7 km/h,56%,1031 hPa,11°
13-julio-2024,11:45,Neblina,20°,17 km/h,60%,1031 hPa,12°
13-julio-2024,12:47,Neblina,21°,11 km/h,49%,1031 hPa,10°
13-julio-2024,13:45,Neblina,22°,7 km/h,41%,1030 hPa,8°
13-julio-2024,14:45,Neblina,22°,11 km/h,43%,1030 hPa,9°
13-julio-2024,16:45,Neblina,24°,26 km/h,38%,1028 hPa,9°
13-julio-2024,16:50,Neblina,24°,26 km/h,38%,1028 hPa,9°
13-julio-2024,17:30,Neblina,22°,19 km/h,43%,1028 hPa,9°
13-julio-2024,17:45,Neblina,22°,15 km/h,46%,1028 hPa,10°
13-julio-2024,18:50,Neblina,22°,19 km/h,46%,1028 hPa,10°
13-julio-2024,19:45,Neblina,21°,22 km/h,49%,1029 hPa,10°
14-julio-2024,02:45,Neblina,17°,15 km/h,63%,1031 hPa,10°
14-julio-2024,03:48,Neblina,16°,7 km/h,68%,1031 hPa,10°
14-julio-2024,06:46,Neblina,15°,19 km/h,72%,1031 hPa,10°
14-julio-2024,07:45,Neblina,15°,9 km/h,67%,1031 hPa,9°
14-julio-2024,08:45,Neblina,17°,9 km/h,63%,1031 hPa,10°
14-julio-2024,09:46,Neblina,18°,En calma,59%,1031 hPa,10°
14-julio-2024,10:45,Neblina,20°,9 km/h,53%,1031 hPa,10°
14-julio-2024,13:45,Neblina,23°,15 km/h,41%,1030 hPa,9°
14-julio-2024,16:27,Lluvia ligera,25°,19 km/h,39%,1027 hPa,10°
14-julio-2024,16:30,Tormenta,25°,22 km/h,36%,1027 hPa,9°
14-julio-2024,16:35,Tormenta,23°,26 km/h,44%,1027 hPa,10°
14-julio-2024,16:40,Tormenta,21°,30 km/h,53%,1027 hPa,11°
14-julio-2024,16:45,Tormenta,19°,22 > 41 km/h,64%,1028 hPa,12°
14-julio-2024,16:49,Tormenta,17°,22 km/h,77%,1027 hPa,13°
